Lake Name	Township	STN	Site ID	Site Description	Latitude (DMS)	Long (DMS)	Date	Secchi Depth (metres)
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/25/2008	6.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/12/2008	8.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/16/2008	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/14/2008	6.1
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/22/2008	7.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/11/2008	7.85
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/11/2009	8.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/11/2009	9
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/15/2009	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/21/2009	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/10/2009	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/08/2009	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	04/21/2010	10.3
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/17/2010	9.3
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/15/2010	10.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/14/2010	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/13/2010	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/19/2010	8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/06/2010	6.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	04/20/2011	8.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/30/2011	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/15/2011	10
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/15/2011	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/17/2011	7.25
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/17/2011	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/06/2011	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/07/2013	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/20/2013	6.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/12/2013	7.25
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/06/2013	5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/12/2013	5.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/12/2013	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/09/2013	5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/20/2014	7.25
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/22/2014	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/29/2014	5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/19/2014	5.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/08/2014	6.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/24/2014	6.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/12/2014	7.25
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/14/2015	8.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/17/2015	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/16/2015	7.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/16/2015	6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/15/2015	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/08/2015	6.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/12/2016	6.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/24/2016	7
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/15/2016	7.75
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/17/2016	6.1
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/17/2016	6.75
